station,latitude,longitude,depth_m
TM2,22.4124,114.2180833,4
TM3,22.44761667,114.2030167,7
TM4,22.43273333,114.2196,8
TM5,22.4571,114.2242667,4
TM6,22.44385,114.2417667,12
TM7,22.44845,114.2676167,11
TM8,22.4732,114.30005,22
TT1,22.4545,114.21195,6
SM1,22.2123,114.2314167,14
SM2,22.22411667,114.1781833,14
SM3,22.22545,114.1496667,33
SM4,22.21263333,114.1385833,11
SM5,22.20235,114.1121333,8
SM6,22.19166667,114.07905,14
SM7,22.229,114.07455,8
SM9,22.27366667,114.0670667,8
SM10,22.30208333,114.0319833,5
SM11,22.25738333,114.0179667,8
SM12,22.21435,114.0144833,7
SM13,22.21595,113.9620667,6
SM17,22.15351667,113.9621167,12
SM18,22.15351667,114.0791,21
SM19,22.15351667,114.21795,24
SM20,22.17413333,113.8822,7
ST1,22.20861667,114.0248833,6
ST3,22.24556667,114.0321333,6
PM1,22.38736667,114.28575,6
PM2,22.37738333,114.2781167,8
PM3,22.36926667,114.2818333,13
PM4,22.38233333,114.31365,6
PM6,22.3517,114.2702167,11
PM7,22.34088333,114.29505,17
PM8,22.31946667,114.3124167,20
PM9,22.34215,114.3366,15
PM11,22.32066667,114.33605,21
PT2,22.37996667,114.2756667,3
PT3,22.37983333,114.3066667,6
PT4,22.36213333,114.26465,5
JM3,22.2915,114.26095,10
JM4,22.28121667,114.2563,16
DM1,22.49615,114.0107333,2
DM2,22.50756667,113.9924833,2
DM3,22.47666667,113.9591833,3
DM4,22.45558333,113.9322833,4
DM5,22.42601667,113.8898,8
NM1,22.34795,114.0214333,34
NM2,22.35216667,113.98025,11
NM3,22.34638333,113.9463833,14
NM5,22.38418333,113.8995333,20
NM6,22.33943333,113.8984667,8
NM8,22.27825,113.8647667,8
NT1,22.37458333,113.97255,4
MM1,22.54973333,114.23785,6
MM2,22.54376667,114.2774667,11
MM3,22.5619,114.31025,16
MM4,22.56361667,114.35805,18
MM5,22.52055,114.3938833,20
MM6,22.45556667,114.34995,12
MM7,22.52348333,114.2970667,13
MM8,22.20035,114.3224167,31
MM13,22.21666667,114.4486667,28
MM14,22.29266667,114.4486667,25
MM15,22.36866667,114.4486667,24
MM16,22.4445,114.4486667,22
MM17,22.5032,114.3493333,17
MM19,22.26535,114.3235167,28
WM1,22.25073333,114.1227167,35
WM2,22.28456667,114.0955,13
WM3,22.32005,114.0971,20
WM4,22.349,114.0709333,26
WT1,22.24156667,114.1622833,7
WT3,22.24685,114.1486333,10
EM1,22.2751,114.2555833,16
EM2,22.2622,114.2661833,21
EM3,22.23728333,114.2690667,21
ET1,22.27005,114.2437333,6
ET2,22.28463333,114.2297167,12
VM1,22.288,114.23065,38
VM2,22.2977,114.2103167,12
VS3,22.29385,114.2087667,8
VM4,22.29766667,114.1942333,12
VM5,22.28776667,114.1751667,11
VS5,22.28461667,114.1766667,8
VM6,22.28951667,114.1610833,14
VM7,22.29618333,114.1402667,10
VM8,22.29273333,114.1195833,11
VM12,22.32928333,114.1213,14
VM14,22.36558333,114.1087833,11
VM15,22.30965,114.1423167,11
VT2,22.28656667,114.1884,5
VT3,22.2908,114.2375,5
VT4,22.31223333,114.2135667,6
VT8,22.356,114.11445,5
VT10,22.30983333,114.1571667,5
VT11,22.31635,114.1969,6
VT12,22.32381667,114.1431167,5
